holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,days,traffic_volume
None,288.28,0,0,40,Clouds,scattered clouds,10/2/2012 9:00,Tuesday,5545
None,289.36,0,0,75,Clouds,broken clouds,10/2/2012 10:00,Tuesday,4516
None,289.58,0,0,90,Clouds,overcast clouds,10/2/2012 11:00,Tuesday,4767
None,290.13,0,0,90,Clouds,overcast clouds,10/2/2012 12:00,Tuesday,5026
None,291.14,0,0,75,Clouds,broken clouds,10/2/2012 13:00,Tuesday,4918
None,291.72,0,0,1,Clear,sky is clear,10/2/2012 14:00,Tuesday,5181
None,293.17,0,0,1,Clear,sky is clear,10/2/2012 15:00,Tuesday,5584
None,293.86,0,0,1,Clear,sky is clear,10/2/2012 16:00,Tuesday,6015
None,294.14,0,0,20,Clouds,few clouds,10/2/2012 17:00,Tuesday,5791
None,293.1,0,0,20,Clouds,few clouds,10/2/2012 18:00,Tuesday,4770
None,290.97,0,0,20,Clouds,few clouds,10/2/2012 19:00,Tuesday,3539
None,289.38,0,0,1,Clear,sky is clear,10/2/2012 20:00,Tuesday,2784
None,288.61,0,0,1,Clear,sky is clear,10/2/2012 21:00,Tuesday,2361
None,287.16,0,0,1,Clear,sky is clear,10/2/2012 22:00,Tuesday,1529
None,285.45,0,0,1,Clear,sky is clear,10/2/2012 23:00,Tuesday,963
None,284.63,0,0,1,Clear,sky is clear,10/3/2012 0:00,Wednesday,506
None,283.47,0,0,1,Clear,sky is clear,10/3/2012 1:00,Wednesday,321
None,281.18,0,0,1,Clear,sky is clear,10/3/2012 2:00,Wednesday,273
None,281.09,0,0,1,Clear,sky is clear,10/3/2012 3:00,Wednesday,367
None,279.53,0,0,1,Clear,sky is clear,10/3/2012 4:00,Wednesday,814
None,278.62,0,0,1,Clear,sky is clear,10/3/2012 5:00,Wednesday,2718
None,278.23,0,0,1,Clear,sky is clear,10/3/2012 6:00,Wednesday,5673
None,278.12,0,0,1,Clear,sky is clear,10/3/2012 8:00,Wednesday,6511
None,282.48,0,0,1,Clear,sky is clear,10/3/2012 9:00,Wednesday,5471
None,291.97,0,0,1,Clear,sky is clear,10/3/2012 12:00,Wednesday,5097
None,293.23,0,0,1,Clear,sky is clear,10/3/2012 13:00,Wednesday,4887
None,294.31,0,0,1,Clear,sky is clear,10/3/2012 14:00,Wednesday,5337
None,295.17,0,0,1,Clear,sky is clear,10/3/2012 15:00,Wednesday,5692
None,295.13,0,0,1,Clear,sky is clear,10/3/2012 16:00,Wednesday,6137
None,293.66,0,0,20,Clouds,few clouds,10/3/2012 18:00,Wednesday,4623
None,290.65,0,0,20,Clouds,few clouds,10/3/2012 19:00,Wednesday,3591
None,288.19,0,0,20,Clouds,few clouds,10/3/2012 20:00,Wednesday,2898
None,287.1,0,0,1,Clear,sky is clear,10/3/2012 21:00,Wednesday,2637
